"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","effsize","magnitude","X_Var","Y_Var","State","x_lab","y_lab","group","EJ_Cat"
"1","Density","0-10","10-20",156,219,17580,0.63,1,"ns",0.0249334702051534,"small","N_P_MINORPCT_BIN","Facility_km","Arizona","Minority","Facilities","Minority vs. Facilities","N"
"2","Density","0-10","20-30",156,291,21832,0.505,1,"ns",0.0315474023093163,"small","N_P_MINORPCT_BIN","Facility_km","Arizona","Minority","Facilities","Minority vs. Facilities","N"
"3","Density","0-10","30-40",156,429,28321,0.004,0.198,"ns",0.117716078971066,"small","N_P_MINORPCT_BIN","Facility_km","Arizona","Minority","Facilities","Minority vs. Facilities","N"
"4","Density","0-10","40-50",156,569,34222,1.14e-05,0.000513,"***",0.163011271291927,"small","N_P_MINORPCT_BIN","Facility_km","Arizona","Minority","Facilities","Minority vs. Facilities","N"
"5","Density","0-10","50-60",156,617,31437,2.04e-11,9.18e-10,"****",0.241107295081568,"small","N_P_MINORPCT_BIN","Facility_km","Arizona","Minority","Facilities","Minority vs. Facilities","N"
"6","Density","0-10","60-70",156,553,23576,4.7e-18,2.11e-16,"****",0.325259153994957,"moderate","N_P_MINORPCT_BIN","Facility_km","Arizona","Minority","Facilities","Minority vs. Facilities","N"
"7","Density","0-10","70-80",156,517,17896,5.58e-26,2.51e-24,"****",0.406343540608891,"moderate","N_P_MINORPCT_BIN","Facility_km","Arizona","Minority","Facilities","Minority vs. Facilities","N"
"8","Density","0-10","80-90",156,429,11516,6.25e-34,2.81e-32,"****",0.502060325604099,"large","N_P_MINORPCT_BIN","Facility_km","Arizona","Minority","Facilities","Minority vs. Facilities","N"
"9","Density","0-10","90-100",156,385,20754,1.77e-08,7.96e-07,"****",0.242206261467393,"small","N_P_MINORPCT_BIN","Facility_km","Arizona","Minority","Facilities","Minority vs. Facilities","N"
"10","Density","10-20","20-30",219,291,29752,0.199,1,"ns",0.0569064043808036,"small","N_P_MINORPCT_BIN","Facility_km","Arizona","Minority","Facilities","Minority vs. Facilities","N"
"11","Density","10-20","30-40",219,429,38360,0.00013,0.006,"**",0.150302873504284,"small","N_P_MINORPCT_BIN","Facility_km","Arizona","Minority","Facilities","Minority vs. Facilities","N"
"12","Density","10-20","40-50",219,569,46406.5,2.7e-08,1.22e-06,"****",0.198072794965057,"small","N_P_MINORPCT_BIN","Facility_km","Arizona","Minority","Facilities","Minority vs. Facilities","N"
"13","Density","10-20","50-60",219,617,42801.5,6.97e-16,3.14e-14,"****",0.279151382676376,"small","N_P_MINORPCT_BIN","Facility_km","Arizona","Minority","Facilities","Minority vs. Facilities","N"
