"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","effsize","magnitude","X_Var","Y_Var","State","x_lab","y_lab","group","EJ_Cat"
"1","Density","0-10","10-20",974,572,210167,6.96e-16,3.13e-14,"****",0.205275755158723,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"2","Density","0-10","20-30",974,319,82765,4.43e-36,1.99e-34,"****",0.348780119831141,"moderate","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"3","Density","0-10","30-40",974,268,53029,3.15e-50,1.42e-48,"****",0.422879657768073,"moderate","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"4","Density","0-10","40-50",974,174,26021,3.9e-48,1.75e-46,"****",0.43024778691822,"moderate","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"5","Density","0-10","50-60",974,134,16381,5.43e-45,2.44e-43,"****",0.422839588521179,"moderate","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"6","Density","0-10","60-70",974,106,14092,8.24e-35,3.71e-33,"****",0.37451453295364,"moderate","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"7","Density","0-10","70-80",974,52,3626,1.95e-25,8.78e-24,"****",0.325409883941666,"moderate","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"8","Density","0-10","80-90",974,27,2277,2.18e-13,9.81e-12,"****",0.231926323427584,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"9","Density","0-10","90-100",974,2,51,0.02,0.922,"ns",0.074198102782557,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"10","Density","10-20","20-30",572,319,67968,2.66e-10,1.2e-08,"****",0.211642605467672,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"11","Density","10-20","30-40",572,268,46515,3.81e-20,1.71e-18,"****",0.317201810642018,"moderate","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"12","Density","10-20","40-50",572,174,23483,4.64e-26,2.09e-24,"****",0.386578213047342,"moderate","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"13","Density","10-20","50-60",572,134,15724,2.05e-26,9.23e-25,"****",0.400260094025623,"moderate","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"14","Density","10-20","60-70",572,106,12754,2.51e-21,1.13e-19,"****",0.364143343933677,"moderate","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"15","Density","10-20","70-80",572,52,3379,2.62e-20,1.18e-18,"****",0.369658160580695,"moderate","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"16","Density","10-20","80-90",572,27,2254,4.91e-10,2.21e-08,"****",0.25424841773647,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"17","Density","10-20","90-100",572,2,60,0.029,1,"ns",0.0912781577275852,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"18","Density","20-30","30-40",319,268,36732,0.003,0.148,"ns",0.121278833672077,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"19","Density","20-30","40-50",319,174,19373,2.97e-08,1.34e-06,"****",0.249677574095129,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"20","Density","20-30","50-60",319,134,13788,2.46e-09,1.11e-07,"****",0.280234902729257,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"21","Density","20-30","60-70",319,106,10606,8.89e-09,4e-07,"****",0.278968136001668,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"22","Density","20-30","70-80",319,52,2875,4.15e-14,1.87e-12,"****",0.39233383618657,"moderate","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"23","Density","20-30","80-90",319,27,1963,2.67e-06,0.00012,"***",0.252450753555714,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"24","Density","20-30","90-100",319,2,57,0.046,1,"ns",0.111764145390682,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"25","Density","30-40","40-50",268,174,19218,0.002,0.081,"ns",0.148562558044217,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"26","Density","30-40","50-60",268,134,13786.5,0.000147,0.007,"**",0.189360746639622,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"27","Density","30-40","60-70",268,106,10492.5,8.19e-05,0.004,"**",0.203690331681366,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"28","Density","30-40","70-80",268,52,2911.5,3.07e-11,1.38e-09,"****",0.371404294215461,"moderate","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"29","Density","30-40","80-90",268,27,1952,8.07e-05,0.004,"**",0.229593977841537,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"30","Density","30-40","90-100",268,2,58,0.057,1,"ns",0.116161528839399,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"31","Density","40-50","50-60",174,134,11097,0.469,1,"ns",0.0412546355496091,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
"32","Density","40-50","60-70",174,106,8424,0.225,1,"ns",0.0725666552052104,"small","N_P_MINORPCT_BIN","Facility_km","Iowa","Minority","Facilities","Minority vs. Facilities","N"
