"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","effsize","magnitude","X_Var","Y_Var","State","x_lab","y_lab","group","EJ_Cat"
"1","Density","0-10","10-20",216,258,24757,0.036,1,"ns",0.0960862381403325,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"2","Density","0-10","20-30",216,168,14730,0.002,0.07,"ns",0.161466795903969,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"3","Density","0-10","30-40",216,66,4329,1.39e-06,6.26e-05,"****",0.287464273855981,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"4","Density","0-10","40-50",216,49,2839,4.12e-07,1.85e-05,"****",0.311110668184915,"moderate","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"5","Density","0-10","50-60",216,27,1423,1.46e-05,0.000657,"***",0.278134280464923,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"6","Density","0-10","60-70",216,19,1986,0.818,1,"ns",0.0151548972975299,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"7","Density","0-10","70-80",216,8,789,0.679,1,"ns",0.0278403369290101,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"8","Density","0-10","80-90",216,14,1834,0.183,1,"ns",0.0880024349190615,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"9","Density","0-10","90-100",216,16,2138,0.114,1,"ns",0.103916108958434,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"10","Density","10-20","20-30",258,168,19998,0.178,1,"ns",0.0653075566221917,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"11","Density","10-20","30-40",258,66,6061,0.000305,0.014,"*",0.200674559398403,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"12","Density","10-20","40-50",258,49,4019,5.34e-05,0.002,"**",0.230645191006195,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"13","Density","10-20","50-60",258,27,2032,0.000371,0.017,"*",0.210941038099342,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"14","Density","10-20","60-70",258,19,2625,0.607,1,"ns",0.0310235277319567,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"15","Density","10-20","70-80",258,8,1036,0.987,1,"ns",0.00114445675827839,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"16","Density","10-20","80-90",258,14,2387,0.043,1,"ns",0.122893007831373,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"17","Density","10-20","90-100",258,16,2745,0.027,1,"ns",0.133760195755092,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
"18","Density","20-30","30-40",168,66,4296,0.007,0.334,"ns",0.175080901297294,"small","N_P_MINORPCT_BIN","Facility_km","Montana","Minority","Facilities","Minority vs. Facilities","N"
