"","Bin","X_Var","Y_Var","Q1","Median","Q3","IQR","State"
"1","80-90","N_P_MINORPCT","Facility_km",39.8881325712472,194.638765337657,484.152421816582,444.264289245335,"New York"
"2","90-100","N_P_MINORPCT","Facility_km",93.5869862227563,303.413400758533,614.852519298423,521.265533075667,"New York"
"3","70-80","N_P_MINORPCT","Facility_km",13.4419442428153,113.46122935242,415.694049179804,402.252104936988,"New York"
"4","40-50","N_P_MINORPCT","Facility_km",1.04297037964122,9.40176565158937,151.753292504471,150.71032212483,"New York"
"5","30-40","N_P_MINORPCT","Facility_km",0.358874752978711,3.82771185586499,31.8994146472538,31.5405398942751,"New York"
"6","50-60","N_P_MINORPCT","Facility_km",1.59074522297729,21.3783607148762,314.907728274288,313.316983051311,"New York"
"7","60-70","N_P_MINORPCT","Facility_km",5.29916652340009,73.393398415888,429.573230555432,424.274064032032,"New York"
"8","20-30","N_P_MINORPCT","Facility_km",0.287842793602145,2.47178027739326,16.1004185414654,15.8125757478632,"New York"
"9","10-20","N_P_MINORPCT","Facility_km",0.122968591114408,0.856216430964553,7.27275373014428,7.14978513902987,"New York"
"10","0-10","N_P_MINORPCT","Facility_km",0.0869221463601303,0.405619375107117,4.66154161489753,4.5746194685374,"New York"
"11","80-90","N_P_MINORPCT","Releases_km",21.2583623842478,51.756340161715,114.418723844907,93.1603614606587,"New York"
"12","90-100","N_P_MINORPCT","Releases_km",27.8528312007268,63.0636312038847,134.741330713978,106.888499513251,"New York"
"13","70-80","N_P_MINORPCT","Releases_km",14.6644767714688,40.0133644637309,92.5069380203515,77.8424612488827,"New York"
"14","40-50","N_P_MINORPCT","Releases_km",2.42105660720874,13.2322161890987,49.9107844727549,47.4897278655462,"New York"
"15","30-40","N_P_MINORPCT","Releases_km",1.03781322067749,6.75798779173152,29.6082721599376,28.5704589392602,"New York"
"16","50-60","N_P_MINORPCT","Releases_km",4.51728661230893,21.0546166202078,72.0433737018207,67.5260870895117,"New York"
"17","60-70","N_P_MINORPCT","Releases_km",11.3271214784765,33.0642178369613,89.975363785667,78.6482423071905,"New York"
"18","20-30","N_P_MINORPCT","Releases_km",0.42002358729944,4.01921379093816,16.8751962209934,16.455172633694,"New York"
"19","10-20","N_P_MINORPCT","Releases_km",0.0953407353888055,1.22206876961166,8.11901131876757,8.02367058337876,"New York"
"20","0-10","N_P_MINORPCT","Releases_km",0.032149129075658,0.283042272316197,4.81054392832663,4.77839479925097,"New York"
"21","80-90","N_P_MINORPCT","Tanks_km",99.8997109175519,483.954659648546,1151.49036396399,1051.59065304644,"New York"
"22","90-100","N_P_MINORPCT","Tanks_km",293.44199266118,832.692800409941,1559.09989795738,1265.65790529619,"New York"
"23","70-80","N_P_MINORPCT","Tanks_km",33.479947603882,265.378695398333,990.948070509767,957.468122905885,"New York"
"24","40-50","N_P_MINORPCT","Tanks_km",2.24720363597548,27.2980577431916,302.183274155775,299.9360705198,"New York"
"25","30-40","N_P_MINORPCT","Tanks_km",0.881740363174212,9.95006068924437,100.794167514431,99.9124271512569,"New York"
"26","50-60","N_P_MINORPCT","Tanks_km",3.3558018471236,58.8383274546899,659.280288763369,655.924486916245,"New York"
"27","60-70","N_P_MINORPCT","Tanks_km",12.1719518330369,179.514986886897,874.845802619333,862.673850786296,"New York"
"28","20-30","N_P_MINORPCT","Tanks_km",0.679058536645044,6.74081371829236,47.4716183130444,46.7925597763994,"New York"
"29","10-20","N_P_MINORPCT","Tanks_km",0.298747237943098,2.51771440970355,20.6786478791395,20.3799006411964,"New York"
"30","0-10","N_P_MINORPCT","Tanks_km",0.226271750135608,1.2321446833573,14.7869232891931,14.5606515390575,"New York"
"31","80-90","N_P_MINORPCT","Capacity_km",541923.600123295,1673847.38132017,4288639.10334179,3746715.50321849,"New York"
"32","90-100","N_P_MINORPCT","Capacity_km",912992.478241698,2624238.21015174,5744922.73730684,4831930.25906515,"New York"
"33","70-80","N_P_MINORPCT","Capacity_km",260750.945304501,1131680.00290696,3095286.10828605,2834535.16298155,"New York"
"34","40-50","N_P_MINORPCT","Capacity_km",12445.1860655177,194961.67365286,1366181.34265763,1353736.15659211,"New York"
"35","30-40","N_P_MINORPCT","Capacity_km",3143.02327408734,65926.6895212524,581610.689107075,578467.665832988,"New York"
"36","50-60","N_P_MINORPCT","Capacity_km",15869.9306581418,372536.081931239,2283309.94527778,2267440.01461963,"New York"
"37","60-70","N_P_MINORPCT","Capacity_km",93934.9285882452,868267.923263868,3063912.88969188,2969977.96110363,"New York"
"38","20-30","N_P_MINORPCT","Capacity_km",2682.61975137583,41720.6654859593,282639.540479845,279956.92072847,"New York"
"39","10-20","N_P_MINORPCT","Capacity_km",1052.90661816501,10912.3412014154,122769.541415577,121716.634797412,"New York"
"40","0-10","N_P_MINORPCT","Capacity_km",781.768134370697,5586.11008329757,79928.2127216666,79146.4445872959,"New York"
"41","70-80","N_P_LWINCPCT","Facility_km",6.21095242671716,89.4968551133775,425.750223653884,419.539271227167,"New York"
"42","90-100","N_P_LWINCPCT","Facility_km",45.9332352077194,224.146714212939,593.946669870241,548.013434662521,"New York"
"43","50-60","N_P_LWINCPCT","Facility_km",0.502867855379228,15.0631900823956,243.865264441396,243.362396586017,"New York"
"44","80-90","N_P_LWINCPCT","Facility_km",24.3176853663362,188.865805290465,525.421747494587,501.104062128251,"New York"
"45","40-50","N_P_LWINCPCT","Facility_km",0.44632546096854,11.7433647485871,179.328004178409,178.88167871744,"New York"
"46","60-70","N_P_LWINCPCT","Facility_km",1.0986864965835,32.6841296761003,330.584280759083,329.485594262499,"New York"
"47","20-30","N_P_LWINCPCT","Facility_km",0.356614303799725,4.84833037354308,98.7715742725656,98.4149599687659,"New York"
"48","30-40","N_P_LWINCPCT","Facility_km",0.422418480021678,6.12369151283723,122.12640403708,121.703985557059,"New York"
"49","10-20","N_P_LWINCPCT","Facility_km",0.374863062845193,3.41187306716239,76.6998640702368,76.3250010073916,"New York"
"50","0-10","N_P_LWINCPCT","Facility_km",0,1.58191639252734,15.9690240126513,15.9690240126513,"New York"
"51","70-80","N_P_LWINCPCT","Releases_km",5.15072427875645,31.9083929812419,87.9460244414406,82.7953001626842,"New York"
"52","90-100","N_P_LWINCPCT","Releases_km",24.6624150493415,54.5559148530958,133.434455399612,108.77204035027,"New York"
"53","50-60","N_P_LWINCPCT","Releases_km",0.32961144875043,13.3870421464248,62.6399611632241,62.3103497144737,"New York"
"54","80-90","N_P_LWINCPCT","Releases_km",15.1522317442555,48.6554180981232,111.392392049318,96.240160305063,"New York"
"55","40-50","N_P_LWINCPCT","Releases_km",0.346243307231311,11.4243389859788,48.4143689461811,48.0681256389498,"New York"
"56","60-70","N_P_LWINCPCT","Releases_km",1.05977839018398,19.781611014401,74.6888333233956,73.6290549332116,"New York"
"57","20-30","N_P_LWINCPCT","Releases_km",0.658404393822218,7.74176138343064,38.6672681575047,38.0088637636825,"New York"
"58","30-40","N_P_LWINCPCT","Releases_km",0.568414963870798,9.22003863991026,40.2644976107792,39.6960826469084,"New York"
"59","10-20","N_P_LWINCPCT","Releases_km",0.82965668952205,7.60698903322387,34.9631264032182,34.1334697136961,"New York"
"60","0-10","N_P_LWINCPCT","Releases_km",0.85121970700842,5.90009026313778,26.5038447567344,25.652625049726,"New York"
"61","70-80","N_P_LWINCPCT","Tanks_km",16.5966455315853,239.054479387836,1034.49968998347,1017.90304445188,"New York"
"62","90-100","N_P_LWINCPCT","Tanks_km",123.174042507073,558.91668219213,1508.12212080056,1384.94807829348,"New York"
"63","50-60","N_P_LWINCPCT","Tanks_km",1.38838888740068,41.1715360585459,588.007736943907,586.619348056507,"New York"
"64","80-90","N_P_LWINCPCT","Tanks_km",63.4715339336861,464.547298657458,1268.00716889289,1204.53563495921,"New York"
"65","40-50","N_P_LWINCPCT","Tanks_km",1.17292983350521,33.5703484475728,460.07646282886,458.903532995355,"New York"
"66","60-70","N_P_LWINCPCT","Tanks_km",2.91802137557566,98.1283649851826,853.842588150396,850.924566774821,"New York"
"67","20-30","N_P_LWINCPCT","Tanks_km",0.937476856040117,12.5333177363157,289.342418413589,288.404941557548,"New York"
"68","30-40","N_P_LWINCPCT","Tanks_km",1.02567960231265,17.2414754070682,351.960989734084,350.935310131771,"New York"
"69","10-20","N_P_LWINCPCT","Tanks_km",0.858544079445621,8.25668806366985,190.595792556241,189.737248476796,"New York"
"70","0-10","N_P_LWINCPCT","Tanks_km",0,3.60328870479204,39.3577904066962,39.3577904066962,"New York"
"71","70-80","N_P_LWINCPCT","Capacity_km",95481.2749938922,968976.340630184,3357397.31473211,3261916.03973822,"New York"
"72","90-100","N_P_LWINCPCT","Capacity_km",636459.376030748,2025457.63871711,5832501.62220111,5196042.24617037,"New York"
"73","50-60","N_P_LWINCPCT","Capacity_km",6013.1187771431,263847.400170863,1821803.21685258,1815790.09807543,"New York"
"74","80-90","N_P_LWINCPCT","Capacity_km",324767.160379574,1520506.85602351,4277700.40235221,3952933.24197264,"New York"
"75","40-50","N_P_LWINCPCT","Capacity_km",4777.22348942603,190215.465933568,1374172.4103371,1369395.18684768,"New York"
"76","60-70","N_P_LWINCPCT","Capacity_km",15766.303053388,460996.543707318,2565868.44136137,2550102.13830798,"New York"
"77","20-30","N_P_LWINCPCT","Capacity_km",3510.58620214179,84892.3225563682,1029039.00040542,1025528.41420328,"New York"
"78","30-40","N_P_LWINCPCT","Capacity_km",4695.71261215739,123990.96523637,1163135.32109403,1158439.60848188,"New York"
"79","10-20","N_P_LWINCPCT","Capacity_km",2504.30654140167,51599.0547053178,961380.123702293,958875.817160891,"New York"
"80","0-10","N_P_LWINCPCT","Capacity_km",0,18468.2367392888,328134.72758316,328134.72758316,"New York"
"81","70-80","N_P_LESHSPCT","Facility_km",3.47372984099154,57.9947625437815,324.390227598146,320.916497757154,"New York"
"82","80-90","N_P_LESHSPCT","Facility_km",27.1405185883903,162.603282267198,447.597373292882,420.456854704491,"New York"
"83","50-60","N_P_LESHSPCT","Facility_km",0.263877423118112,7.19521387262468,97.4093503789052,97.1454729557871,"New York"
"84","40-50","N_P_LESHSPCT","Facility_km",0.305801826756401,4.82071170577268,57.2603202034378,56.9545183766814,"New York"
"85","10-20","N_P_LESHSPCT","Facility_km",0.320529358712054,2.58961011458653,25.2866915582937,24.9661621995816,"New York"
"86","60-70","N_P_LESHSPCT","Facility_km",0.678185675482729,22.397237402572,208.004502685705,207.326317010222,"New York"
"87","30-40","N_P_LESHSPCT","Facility_km",0.280423338288414,3.45140890825896,35.8449552066078,35.5645318683193,"New York"
"88","20-30","N_P_LESHSPCT","Facility_km",0.26205648168864,2.80632039479315,28.1876735303652,27.9256170486765,"New York"
"89","0-10","N_P_LESHSPCT","Facility_km",0.32560036420664,5.64262179704136,456.319979801248,455.994379437041,"New York"
"90","90-100","N_P_LESHSPCT","Facility_km",82.7327548168848,327.118089630357,652.877110722023,570.144355905138,"New York"
"91","70-80","N_P_LESHSPCT","Releases_km",5.30821673580543,28.6429740001852,77.3902413034021,72.0820245675966,"New York"
"92","80-90","N_P_LESHSPCT","Releases_km",16.2011415606995,45.9668252728797,100.914431029701,84.7132894690015,"New York"
"93","50-60","N_P_LESHSPCT","Releases_km",0.267963780881863,8.67328764531146,38.8641490134736,38.5961852325917,"New York"
"94","40-50","N_P_LESHSPCT","Releases_km",0.294705150902538,6.20109532013671,31.9428722146817,31.6481670637791,"New York"
"95","10-20","N_P_LESHSPCT","Releases_km",0.562277333335065,4.84240480397687,24.4076032020669,23.8453258687319,"New York"
