"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","effsize","magnitude","X_Var","Y_Var","State","x_lab","y_lab","group","EJ_Cat"
"1","Density","0-10","10-20",245,166,19260,0.363,1,"ns",0.0448739948853498,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"2","Density","0-10","20-30",245,61,4624,4.11e-06,8.63e-05,"****",0.263349686592123,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"3","Density","0-10","30-40",245,30,1251,3.76e-09,7.9e-08,"****",0.355517410311625,"moderate","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"4","Density","0-10","40-50",245,11,243,4.32e-06,9.07e-05,"****",0.287338044777821,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"5","Density","0-10","50-60",245,7,305,0.004,0.078,"ns",0.183034586227271,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"6","Density","0-10","60-70",245,1,33,0.21,1,"ns",0.0803558777171262,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"7","Density","10-20","20-30",166,61,3431,2e-04,0.004,"**",0.246952650415114,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"8","Density","10-20","30-40",166,30,864,1.31e-08,2.75e-07,"****",0.406196368430521,"moderate","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"9","Density","10-20","40-50",166,11,163,5.26e-06,0.00011,"***",0.342535671447506,"moderate","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"10","Density","10-20","50-60",166,7,205,0.004,0.08,"ns",0.220231144014075,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"11","Density","10-20","60-70",166,1,27,0.25,1,"ns",0.0898903038778586,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"12","Density","20-30","30-40",61,30,522,0.000921,0.019,"*",0.34781214909786,"moderate","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"13","Density","20-30","40-50",61,11,126,0.001,0.022,"*",0.386446344310123,"moderate","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"14","Density","20-30","50-60",61,7,115,0.048,1,"ns",0.24106716406289,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"15","Density","20-30","60-70",61,1,20,0.576,1,"ns",0.074516826903832,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"16","Density","30-40","40-50",30,11,135,0.391,1,"ns",0.137860019073854,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"17","Density","30-40","50-60",30,7,103,0.955,1,"ns",0.012750238571149,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"18","Density","30-40","60-70",30,1,21,0.645,1,"ns",0.120482899335375,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"19","Density","40-50","50-60",11,7,43,0.724,1,"ns",0.0960604730925909,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"20","Density","40-50","60-70",11,1,8,0.667,1,"ns",0.209060502501773,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"21","Density","50-60","60-70",7,1,5,0.75,1,"ns",0.231455024943138,"small","N_P_MINORPCT_BIN","Facility_km","Vermont","Minority","Facilities","Minority vs. Facilities","N"
"22","Density","0-10","10-20",245,166,19646.5,0.559,1,"ns",0.0288387937311351,"small","N_P_MINORPCT_BIN","Releases_km","Vermont","Minority","Releases","Minority vs. Releases","N"
"23","Density","0-10","20-30",245,61,5173.5,0.00019,0.004,"**",0.213350898448375,"small","N_P_MINORPCT_BIN","Releases_km","Vermont","Minority","Releases","Minority vs. Releases","N"
"24","Density","0-10","30-40",245,30,1269.5,4.38e-09,9.2e-08,"****",0.354000618747752,"moderate","N_P_MINORPCT_BIN","Releases_km","Vermont","Minority","Releases","Minority vs. Releases","N"
"25","Density","0-10","40-50",245,11,219,2.43e-06,5.1e-05,"****",0.294746964824667,"small","N_P_MINORPCT_BIN","Releases_km","Vermont","Minority","Releases","Minority vs. Releases","N"
"26","Density","0-10","50-60",245,7,268,0.002,0.039,"*",0.196104984779487,"small","N_P_MINORPCT_BIN","Releases_km","Vermont","Minority","Releases","Minority vs. Releases","N"
"27","Density","0-10","60-70",245,1,40,0.246,1,"ns",0.0744026420023305,"small","N_P_MINORPCT_BIN","Releases_km","Vermont","Minority","Releases","Minority vs. Releases","N"
"28","Density","10-20","20-30",166,61,3710.5,0.002,0.042,"*",0.205067007242469,"small","N_P_MINORPCT_BIN","Releases_km","Vermont","Minority","Releases","Minority vs. Releases","N"
"29","Density","10-20","30-40",166,30,860.5,1.16e-08,2.44e-07,"****",0.407664018645571,"moderate","N_P_MINORPCT_BIN","Releases_km","Vermont","Minority","Releases","Minority vs. Releases","N"
"30","Density","10-20","40-50",166,11,144,2.9e-06,6.09e-05,"****",0.351836626943045,"moderate","N_P_MINORPCT_BIN","Releases_km","Vermont","Minority","Releases","Minority vs. Releases","N"
"31","Density","10-20","50-60",166,7,173,0.002,0.035,"*",0.23942858108277,"small","N_P_MINORPCT_BIN","Releases_km","Vermont","Minority","Releases","Minority vs. Releases","N"
"32","Density","10-20","60-70",166,1,30,0.275,1,"ns",0.0852546304116329,"small","N_P_MINORPCT_BIN","Releases_km","Vermont","Minority","Releases","Minority vs. Releases","N"
